ItemID,SKU,Name,Category,Color,Size,Barcode,RetailPrice,QtyOnHand,QtySold,Location,LastUpdated
31,BP-004-M,Bape Baby Milo Tee,Clothing,Pink,M,7004234567896,110.00,6,20,Rack D-3,2025-10-12
32,BP-004-L,Bape Baby Milo Tee,Clothing,Pink,L,7004234567897,110.00,8,18,Rack D-3,2025-10-12
33,TR-001-9,Travis Scott Jordan 1 Low,Sneakers,Brown/Pink,9,8001234567890,850.00,1,3,Shelf 1-A,2025-10-12
34,TR-001-10,Travis Scott Jordan 1 Low,Sneakers,Brown/Pink,10,8001234567891,850.00,0,5,Shelf 1-A,2025-10-12
35,TR-001-11,Travis Scott Jordan 1 Low,Sneakers,Brown/Pink,11,8001234567892,850.00,2,4,Shelf 1-A,2025-10-12
36,DK-001-9,Nike Dunk Low Panda,Sneakers,Black/White,9,8002234567890,130.00,8,25,Shelf 1-B,2025-10-12
37,DK-001-10,Nike Dunk Low Panda,Sneakers,Black/White,10,8002234567891,130.00,12,28,Shelf 1-B,2025-10-12
38,DK-001-11,Nike Dunk Low Panda,Sneakers,Black/White,11,8002234567892,130.00,10,30,Shelf 1-B,2025-10-12
39,YZ-001-9,Yeezy Slide Bone,Sneakers,Bone,9,8003234567890,90.00,4,18,Shelf 2-A,2025-10-12
40,YZ-001-10,Yeezy Slide Bone,Sneakers,Bone,10,8003234567891,90.00,3,22,Shelf 2-A,2025-10-12
41,YZ-002-9,Yeezy Foam Runner Onyx,Sneakers,Black,9,8003234567892,100.00,2,15,Shelf 2-A,2025-10-12
42,YZ-002-10,Yeezy Foam Runner Onyx,Sneakers,Black,10,8003234567893,100.00,1,20,Shelf 2-A,2025-10-12
43,NB-001-9,New Balance 550 White Green,Sneakers,White/Green,9,8004234567890,140.00,7,12,Shelf 2-B,2025-10-12
44,NB-001-10,New Balance 550 White Green,Sneakers,White/Green,10,8004234567891,140.00,9,15,Shelf 2-B,2025-10-12
45,NB-002-9,New Balance 2002R Protection Pack,Sneakers,Grey,9,8004234567892,180.00,3,8,Shelf 2-B,2025-10-12
46,NB-002-10,New Balance 2002R Protection Pack,Sneakers,Grey,10,8004234567893,180.00,5,10,Shelf 2-B,2025-10-12
47,AC-001-OS,Bape Shark Face Mask,Accessories,Black,One Size,9001234567890,55.00,15,45,Bin A-1,2025-10-12
48,AC-002-OS,Miami Heat Snapback,Accessories,Black,One Size,9001234567891,35.00,20,50,Bin A-2,2025-10-12
49,AC-003-OS,Chrome Hearts Sunglasses,Accessories,Silver,One Size,9001234567892,280.00,2,6,Display Case,2025-10-12
50,AC-004-OS,Hellstar Chain Necklace,Accessories,Silver,One Size,9001234567893,75.00,8,18,Display Case,2025-10-12
51,CR-001-32,Corteiz Cargo Pants,Clothing,Black,32,7005234567890,160.00,4,14,Rack E-1,2025-10-12
52,CR-001-34,Corteiz Cargo Pants,Clothing,Black,34,7005234567891,160.00,3,16,Rack E-1,2025-10-12
53,CR-002-M,Corteiz Alcatraz Hoodie,Clothing,Grey,M,7005234567892,175.00,2,12,Rack E-2,2025-10-12
54,CR-002-L,Corteiz Alcatraz Hoodie,Clothing,Grey,L,7005234567893,175.00,1,15,Rack E-2,2025-10-12
55,ES-001-M,Essential Fear of God Hoodie,Clothing,Cream,M,7006234567890,95.00,6,22,Rack F-1,2025-10-12
56,ES-001-L,Essential Fear of God Hoodie,Clothing,Cream,L,7006234567891,95.00,5,25,Rack F-1,2025-10-12
57,ES-002-M,Essential Fear of God Tee,Clothing,Black,M,7006234567892,48.00,10,30,Rack F-2,2025-10-12
58,ES-002-L,Essential Fear of God Tee,Clothing,Black,L,7006234567893,48.00,12,28,Rack F-2,2025-10-12
59,SP-001-M,Sp5der Web Hoodie,Clothing,Pink,M,7007234567890,165.00,3,10,Rack G-1,2025-10-12
60,SP-001-L,Sp5der Web Hoodie,Clothing,Pink,L,7007234567891,165.00,2,13,Rack G-1,2025-10-12
